id,result
57927,1
30238,1
97835,1
85873,1
67939,1
83276,1
39385,1
46942,1
65641,0
56037,1
41107,1
40262,1
89688,1
15373,1
78066,1
82393,1
19262,1
82934,1
58885,1
84407,1
47149,1
19208,0
14476,1
62591,1
75584,1
13811,0
38199,1
34590,1
93224,1
6274,1
83948,1
85746,1
53407,1
41385,1
35972,0
64361,1
35969,1
44538,1
31645,1
77817,1
43984,1
22683,1
12605,1
99434,0
55924,1
88344,1
13062,0
95223,1
38129,1
49570,1
28471,1
74356,1
12831,0
49820,1
37125,1
54368,0
89375,1
64451,1
25584,1
6428,1
75940,1
56268,0
10187,1
34179,1
55871,1
32331,1
96669,1
85764,0
74431,1
74767,1
28472,1
85952,1
98452,1
90371,0
89366,1
99129,0
88761,1
86271,1
17992,1
55148,0
46695,0
24000,1
78880,1
78965,0
80785,1
4293,1
34539,1
28447,1
84381,1
8213,1
42340,1
95072,0
76445,0
52776,0
81214,1
198,1
55736,1
65963,0
48291,1
51106,0
81678,1
97932,0
46254,0
28561,1
95126,1
35916,1
93411,1
88379,1
720,1
90445,0
12671,0
40619,0
80732,1
79848,1
10979,1
57553,0
26405,1
17046,1
81461,1
78221,1
46694,1
38958,1
56340,1
59415,1
77981,1
88359,1
6859,1
64506,1
6586,1
24020,1
66678,0
54852,1
78890,1
3429,1
6551,1
89741,0
32981,1
18895,1
57933,0
81955,1
4300,1
59888,1
35286,0
5447,1
19957,1
89708,1
38767,1
31738,1
32037,1
97393,1
81479,1
71630,1
50529,1
57394,1
26285,0
94054,1
15201,1
4144,1
51272,0
52304,1
45553,1
27165,0
42583,1
15853,1
44560,0
31678,1
64626,0
79851,0
5594,1
34287,1
71420,1
47791,1
98450,0
26218,1
47996,1
77913,1
40853,1
15700,1
50282,1
66883,1
50472,1
32938,1
6861,1
69546,1
57045,1
68943,1
22982,1
75335,0
43958,1
47472,1
15415,1
32453,1
46846,0
69542,1
49449,1
98860,1
49712,0
14580,0
88696,1
86796,1
2844,0
478,1
58912,1
54415,1
87762,0
51220,1
1536,0
13654,0
43051,0
54744,1
47850,1
8984,0
90820,1
6353,0
18038,1
81293,0
5505,1
77972,1
35264,1
27132,0
18258,0
41501,0
24275,1
11821,0
32141,1
10598,1
8597,1
99409,1
50738,1
40728,1
21780,1
26791,1
31457,1
72714,1
43599,1
70689,1
6484,1
83530,1
78892,1
28175,0
85547,1
73787,0
61609,1
32893,1
4853,1
90079,0
61506,1
71184,0
42539,1
5729,1
48140,0
10656,0
75644,1
63750,1
91659,0
77494,1
87824,1
25757,1
91613,1
45242,1
62392,1
29566,1
69957,1
95635,1
35341,0
73072,1
61503,0
89903,0
85509,0
45781,1
81125,0
67505,1
94699,0
77367,1
37563,1
50724,1
61175,0
73061,1
34267,1
17093,0
34960,1
4946,1
71043,1
95347,0
80141,1
20338,0
25445,0
59131,0
56516,0
39672,1
44702,0
1871,1
19456,1
2763,0
57532,1
78882,1
76340,1
90004,1
59350,1
25551,1
28402,0
52915,1
89255,1
13956,1
17915,1
52061,1
32727,1
13470,1
39541,1
58198,1
68483,1
93434,1
80127,1
42360,1
33382,1
61891,1
57462,1
40681,1
69976,1
6728,1
29753,1
95417,1
99026,1
88811,1
85338,1
3682,1
36057,1
75869,1
20869,1
79516,0
46701,1
23321,1
82507,1
77926,1
51690,1
97125,1
4901,0
84082,1
90523,1
53497,1
11847,1
12429,0
72172,1
29690,1
45355,1
68872,1
45240,1
1567,1
4101,0
94872,1
9130,1
91764,1
18095,1
4114,1
93243,1
54554,1
9440,1
10862,1
17304,1
56008,1
58846,1
66062,0
73733,1
64484,1
56579,1
41594,1
35209,1
21290,1
40380,0
44196,1
31784,1
17800,1
91965,1
72879,1
28105,0
34987,1
90877,1
83577,1
71404,0
77267,1
55909,1
92875,1
88075,1
86422,1
33557,1
26257,1
17539,0
2906,1
83333,1
90031,1
90440,0
11635,0
7946,1
71183,1
85173,1
238,0
4366,1
84022,1
30685,1
35876,1
99441,1
85396,1
56897,0
15590,1
17945,0
11487,1
1204,0
50805,1
97054,1
90387,1
85375,1
71757,1
1157,1
45860,1
55917,0
92741,1
39048,1
24663,1
86170,1
2364,1
95328,1
9489,1
67730,1
56828,1
82999,1
34908,1
65894,1
3613,1
23574,1
32688,1
80183,0
69966,1
44956,1
98692,1
4087,1
55229,1
42985,1
67184,1
87320,1
65563,1
92640,1
67793,1
16512,1
55254,0
32818,1
9269,1
97129,1
45655,1
46315,1
97008,0
56434,1
26269,0
9436,1
57717,1
37352,1
60261,1
10260,1
11296,0
1792,1
71346,0
45283,1
82512,1
39029,1
20456,0
69025,1
76479,0
12273,1
64158,1
1086,1
79656,1
55483,1
98161,1
76753,1
40488,1
46358,1
79117,1
50062,0
40598,1
39821,0
83116,0
37682,1
61143,0
54803,0
40124,1
49155,1
87045,1
53100,0
45238,1
62515,1
31217,1
31026,1
97845,1
44628,1
83621,0
77638,1
38570,1
47161,0
61809,1
17582,1
89454,1
91932,0
97493,0
46260,1
72065,1
88041,1
5414,1
17843,1
83497,0
40049,0
80244,1
77756,1
40941,1
75251,1
96722,1
77629,1
24245,1
3909,0
58381,0
93593,1
39682,1
74616,1
42545,1
67051,1
56211,1
74980,1
8,0
14314,1
42151,1
76665,0
85505,1
50094,1
29947,1
23012,1
16557,1
18272,0
80206,1
62943,1
91671,1
40565,1
31353,1
84928,1
98492,1
83875,1
74038,1
84363,1
18089,0
14171,1
62502,1
39670,1
51000,0
53262,1
67961,1
1256,0
97646,1
23721,1
95293,1
78579,1
1170,1
9473,1
68533,1
97531,0
22517,1
67537,1
91726,1
66413,1
25232,1
27438,1
54996,1
35785,1
94950,1
48065,1
55942,1
89001,1
15125,1
94032,0
17909,1
56775,1
72572,1
20849,1
26102,1
94046,1
95690,1
27604,1
88121,1
63177,1
18293,0
44876,1
11441,0
75559,1
14373,1
99667,1
69867,0
26395,1
2513,1
64826,1
85166,1
43454,1
55509,1
99425,0
76916,1
43227,1
16098,1
49049,1
22179,1
85599,1
48919,1
54834,1
82785,1
87227,1
64278,1
6794,1
95946,1
62864,1
50491,1
65584,1
67248,1
23008,1
94104,1
73032,1
49544,1
94216,1
27075,1
8151,0
87095,1
14546,1
38224,1
71839,1
95335,1
74868,1
77098,1
27018,1
71615,1
29597,1
77170,1
74721,1
82360,0
35583,1
54880,1
39985,1
50889,1
33608,0
71897,1
31271,1
35941,1
18951,0
30035,1
32763,1
94708,1
48683,1
33061,1
2893,1
18124,1
95669,0
52357,1
3979,1
23299,1
91421,0
29601,0
94352,1
60335,1
61986,1
1609,1
49582,0
61393,1
7074,1
17035,1
22956,0
57480,0
23835,0
74916,0
10719,1
32676,1
75601,1
3085,0
95532,0
89941,1
99393,1
72648,1
13883,0
5550,1
87249,0
30368,1
35403,1
70911,1
65455,1
70134,1
93610,1
94138,0
37680,1
5783,1
18596,1
80733,1
60486,0
74776,1
67107,1
67913,1
18150,0
42397,0
75195,1
14683,1
40706,1
96914,1
16710,1
93984,0
24397,0
4655,1
17117,1
50287,0
95158,1
89914,1
5044,1
22649,1
36411,0
74824,1
27902,1
64029,1
15978,1
62155,0
12296,1
2432,1
40575,1
67268,1
16001,1
91178,1
25783,0
82588,1
74335,1
56064,1
64341,0
8590,1
7965,1
2378,1
15497,1
99970,0
21981,1
56819,1
62333,0
49075,0
81106,1
50260,1
58391,1
7491,1
56455,1
21478,1
63181,1
20154,1
51194,1
75738,1
61345,1
73301,1
72321,1
81805,1
74682,1
31972,1
61865,0
55645,1
66829,1
79172,0
88459,1
5813,1
481,1
44251,1
26589,1
74903,1
93846,1
42786,0
87174,1
50454,1
84213,1
30279,1
96764,1
62688,1
22146,1
48818,1
46900,0
66670,0
21585,1
27755,1
51623,1
51506,1
66490,1
97273,1
3551,0
9361,1
45968,1
84900,1
87172,1
8876,1
42683,1
16806,1
46992,1
63861,1
60438,0
33790,1
9553,0
38437,1
72132,0
96534,1
28720,1
71558,1
76450,1
81172,1
36339,0
68019,1
90813,1
48123,1
41814,1
28323,0
58983,1
36800,1
32078,1
50948,1
94999,1
1837,1
69582,1
12607,0
31310,1
12873,0
50082,1
5126,0
97743,0
27478,1
45266,1
25001,0
45394,1
44433,1
63739,1
47604,1
79783,1
76056,0
68695,1
85775,1
41544,1
4859,1
84464,1
33635,1
8821,1
63165,1
19939,0
65709,1
21678,0
6617,1
28477,1
74161,0
99098,1
92122,1
14804,1
29007,0
11957,1
79131,0
19301,1
71258,1
26297,0
48275,0
84675,1
11448,1
98151,1
10235,1
39518,1
93387,0
58265,1
99836,0
16495,1
78853,1
17509,1
86656,1
3851,1
22430,1
60042,1
62068,1
98335,1
42678,1
79325,1
67651,1
32481,1
64138,0
55636,0
96182,1
93160,1
8932,1
35164,1
1617,1
15018,1
79102,1
97357,1
9173,1
91534,1
85378,1
32514,1
11086,1
4247,0
50943,1
76861,1
98326,1
68341,1
28342,1
98655,1
96901,1
53235,1
22955,1
74486,1
68632,1
42823,1
81387,0
81649,0
95236,1
13403,0
10170,1
12485,1
76705,0
39801,1
61252,1
96554,0
58953,1
9218,1
94427,0
51338,1
85108,0
35326,1
76917,1
52678,1
98999,1
24961,0
9856,1
28792,1
58589,1
67449,1
10160,0
7495,1
54929,1
70552,1
76206,1
51189,1
96919,1
78897,1
45529,1
93114,1
71023,1
28974,1
2586,0
28053,1
58819,1
79111,1
96310,1
71032,0
68660,0
53308,1
82156,1
2064,1
73646,1
97065,0
82618,1
81018,1
13324,0
79737,1
56538,1
21436,1
34416,1
44768,1
82966,1
19866,1
28702,1
36393,0
88780,1
22503,1
57701,1
73680,1
28287,1
68133,1
34991,1
38037,1
18733,0
67991,1
35557,0
85776,1
73560,1
45908,1
66708,0
61925,0
36229,0
4253,1
99111,1
93893,1
66628,1
9236,1
59806,1
3650,1
